sentence_id,at,content,category,sentiment
review_1_1,2025-10-30 23:58:11,"Map suka eror,, driver dimana map dimana..bikin cs dan driver miss kom..",app dan service,negative
review_2_1,2025-10-30 23:42:51,terlalu mahal skrg.,app,negative
review_3_1,2025-10-30 23:34:57,bolehh lah,none,neutral
review_4_1,2025-10-30 23:28:26,love you gojek....always the best😍,service,positive
review_5_1,2025-10-30 23:06:34,mantap gojek,service,positive
review_6_1,2025-10-30 23:01:26,siip,none,positive
review_7_1,2025-10-30 22:33:30,"keren, sangat membantu makasih gojek",service,positive
review_8_1,2025-10-30 21:49:06,kalau order gofod jam pagi driver nya masih pada molor.saya nunggu makanan sampe 90menit. udah gilaa,service,negative
review_9_1,2025-10-30 19:45:27,kasi harga yg bnr la gjls bgt goride gd 2 kilo ko bisa smpe 20ribu di sebelah aja 9rb NO VOUCER,app,negative
review_10_1,2025-10-30 18:28:38,Mantap drivernya ramah sopan pokoknya 🌟 5,service,positive
review_11_1,2025-10-30 17:14:36,Mantaabbb,none,positive
review_12_1,2025-10-30 16:53:57,mantap,none,positive
review_13_1,2025-10-30 16:52:37,good aplication,app,positive
review_14_1,2025-10-30 16:26:19,drivernya ramah dan baik,service,positive
review_15_1,2025-10-30 16:11:18,aplikasi sangat bagus saya sering beli makanan online,app,positive
review_16_1,2025-10-30 15:13:41,Memudahkan membeli barang makanan dll memudahkan perjalanan juga suka deh sama aplikasinya semoga selalu bagus yaaa,app,positive
review_17_1,2025-10-30 15:08:10,bagus,none,positive
review_18_1,2025-10-30 14:56:00,Mantap,none,positive
review_19_1,2025-10-30 14:52:45,kenapa membatalkan pesanan gofood,app,negative
review_19_2,2025-10-30 14:52:45,"karena tidak dapat driver, harus banget tunggu 1,5 jam?",app dan service,negative
review_19_3,2025-10-30 14:52:45,"saya pesan jam 21.00, hingga jam 21.30 belum dapat driver.",service,negative
review_19_4,2025-10-30 14:52:45,terus baru bisa dibatalin 22.21?,app,negative
review_19_5,2025-10-30 14:52:45,logika kalian sampah!,none,negative
review_19_6,2025-10-30 14:52:45,"ini kan pesen makan ya, masa harus nunggu 1,5 jam tanpa kejelasan dapat driver? iya kalau dapet, kalau ga dapet lagi gimana?",app dan service,negative
review_19_8,2025-10-30 14:52:45,"saya pernah sabar sampai 3 jam, 2x order, ga dpt driver.",service,negative
review_19_9,2025-10-30 14:52:45,"KALAU MEMANG GA ADA DRIVER, YAUDAH KASIH WAKTU WAJAR 30 MENIT UNTUK CANCEL.",app dan service,negative
review_19_10,2025-10-30 14:52:45,"CS KALIAN BOT, GA ADA CONTACT CENTER!!",service,negative
review_20_1,2025-10-30 14:48:25,bagus simpel gak ribet tepat pada titik dinemput,app dan service,negative
review_21_1,2025-10-30 14:23:29,gojek/gopay penipuan saldo saya sampai sekarang tidak di kasih udah 4 hari tidak ada kejelasan nya saldo di tahan...,app,negative
review_21_2,2025-10-30 14:23:29,padahal saya sudah kirim bukti jelas ke gmail dan pusat bantuan malah yang respon laporan hanya bot bukan agen langsung kocak emang nih aplikasi penipuan uang,app dan service,negative
review_22_1,2025-10-30 14:22:39,pencarian driver nya jelek banget gak ketemu mulu kalo mau anterin makanan gofood ngangur apa gmn?,app dan service,negative
review_23_2,2025-10-30 14:14:33,2 jam restonya nyari ga nemu²,app dan service,negative
review_24_1,2025-10-30 14:05:07,langganan dan bagus layanan 𝗚𝗢𝗝𝗘𝗞,service,positive
review_25_1,2025-10-30 13:47:06,"kaga jelas bgt , masa pembayaran tanpa pin, tiba2 aja pesan go car tolong tambahkan PIN di setiap transaksi GOJEK.",app,negative
review_26_1,2025-10-30 13:28:59,mantabs,none,positive
review_27_1,2025-10-30 13:23:27,"mangkin lama, mangkin mahal,",app,negative
review_27_2,2025-10-30 13:23:27,tapi kualitas gak meningkat,service,negative
review_28_1,2025-10-30 13:19:05,pliss gojek adain metode pembayaran qrisnya😩,app,neutral
review_29_1,2025-10-30 13:15:04,driver nya bikin macet,service,negative
review_30_1,2025-10-30 13:08:48,"terlalu lama untuk cari driver, ketika dapat kalo argonya sedikit di cancel, di area order banyak driver namun tidak ada yang nyangkut",app dan service,negative
review_31_1,2025-10-30 12:57:57,"buat para cs cs yang ada di gojek, tolong otak dipake logika dipake suruh nunggu 2 jam gile aja order makanan gak ada dapet driver suruh nunggu gitu lama sampa 2 jam orang udah pada kelaparan minimal kasih solusi buka chat sama bot.!",app dan service,negative
review_31_2,2025-10-30 12:57:57,minimal bisa dicancel biar bisa cari opsi lain bukan maksa nungguin driver sampai ber jam jam,app,negative
review_32_1,2025-10-30 12:45:24,Sering dapat driver yang lokasinya jauh sekali dari titik jemput.,service,negative
review_33_1,2025-10-30 12:40:39,sangat membantu,none,positive
review_34_1,2025-10-30 12:40:24,ojol sekarang lelet banget ada orderan lama banget jalannya udah gitu banyak alesan mulu,service,negative
review_35_1,2025-10-30 12:37:59,"saat hujan sampai hujan reda saya susah dapet driver bahkan sampai order grab car ke esokan nya saat saya naik gojek saya tanya driver nya klo hujan susah dapet driver, kata driver nya klo hujan atau habis hujan banyak driver off ka soalnya kalaupun on bakal disuspend karna gk boleh melewati orderan",app dan service,negative
review_35_3,2025-10-30 12:37:59,"padahal orderan nya kalaupun diambil jemput nya jauh ngeblast, jadi banyak driver males on customer pun banyak yg pesan lain seperti grab maxim dll, harusnya gk ada suspen ""biar sama"""" tdk dirugikan.""",app dan service,negative
review_36_1,2025-10-30 12:35:24,"Lama amat buset, mesen makanan sejam lebih kaga nyampe""",service,negative
review_37_1,2025-10-30 12:29:11,susah banget dpt driver slalu pesanan jadi batal,app dan service,negative
review_38_1,2025-10-30 12:21:42,mantap dan lancar terus ya,none,positive
review_40_1,2025-10-30 12:16:14,"Cari driver buat nganterin makanan doang lama banget, ndak pecus",service,negative
review_41_1,2025-10-30 12:16:04,"sudah tunggu hampir 2 jam, dicancel oleh sistem, gofood tidak dapat driver, kl tidak ada driver,",app,negative
review_41_2,2025-10-30 12:16:04,"lebih baik cancel dr awal, tunggu sampai kelaparan, dicancel, emang apk sampah",app,negative
review_42_1,2025-10-30 12:11:51,driver nya selalu menolak padahal keadaan urgent.khusus nya area Bali.tidak rekomendasi,service,negative
review_43_1,2025-10-30 12:08:56,mntep,none,positive
review_44_1,2025-10-30 12:03:49,gajelas kocak,none,negative
review_45_1,2025-10-30 11:59:03,Praktis,none,positive
review_46_1,2025-10-30 11:49:55,Menghubungi CS susah dan solusi yang diberikan tidak relevan dengan masalah yang dialami.,service,negative
review_47_1,2025-10-30 11:36:04,"aplikasi nya kalau kondisi cuaca hujan susah nyari drivernya kadang dapetnya jauh terus , sampe gak hujan tapi mendung masih susah nyari nya",app dan service,negative
review_48_1,2025-10-30 11:35:24,sangat terbantu,none,positive
review_49_1,2025-10-30 11:32:55,"saya tidak sengaja order gofood, saya udh lapor ke cs tapi tidak ada solusi. saya chat resto pun tidak bisa, trs buat apa ada fitur chat resto!!",app dan service,negative
review_50_1,2025-10-30 11:03:17,bagus,none,positive
review_51_1,2025-10-30 10:53:07,oke,none,neutral
review_52_1,2025-10-30 10:39:44,pengalaman pembelian yang buruk,none,negative
review_53_1,2025-10-30 10:39:10,Gabisa ganti metode pembayaran,app,negative
review_54_1,2025-10-30 10:36:55,"susah dapet gojek pas ujan, bisa 5 jam!!!!!",service,negative
review_55_1,2025-10-30 10:33:11,mantap,none,positive
review_56_1,2025-10-30 10:22:47,sangat mudah sekali,none,positive
review_57_1,2025-10-30 10:15:11,rekomendasi mantap,none,positive
review_58_1,2025-10-30 10:07:04,"hey gojek. sebenernya q suka lho pake gojek. cuma hr ini kecewa berat. posisi hujan, butuh gojek untk jmpt anak sekolah, gk ada yg nyantol. pesen goride gk ada yg nyantol ya wjrlah hujan, gpp.terus pesenlah gocar, ada,tp dicancel tngh jln.pakai prioritas gk ada yg nyantol.masyaallah susahnyakalo hujan..nantikalo sdh reda rasa kecewanya, pasti saya balik lagi.mksh sih untuk gojek",app dan service,neutral
review_59_1,2025-10-30 10:07:01,"gojek Memang 👍,terimakasih sudah banyak antar saya",service,positive
review_60_1,2025-10-30 10:05:45,"ujung-ujungnya tergantung orang yang melayani, ada beberapa yang kurang bagus.tapi sejauh ini masih lumayan",service,negative
review_61_1,2025-10-30 09:49:55,kalo lg ujan nyari driver buat gofood tuh susah banget ampe berjam jam padahal udah pake yang ekspress,app dan service,negative
review_62_1,2025-10-30 09:49:07,mantaaap,none,positive
review_63_1,2025-10-30 09:36:09,Keren gojek,service,positive
review_64_1,2025-10-30 09:35:30,lamaaaa sayaaa nakkkkk pulaanggggggggg,service,negative
review_65_1,2025-10-30 09:29:32,mantap nih,none,positive
review_66_1,2025-10-30 09:13:40,"Sangat baik, trims",none,positive
review_67_1,2025-10-30 09:12:53,"Tolong ya Pihak Gojeg Di perbaiki Sistem nya mkin ke sini makin ga jelas Udh lma dapet nya giliran dapet jauh dinkasih nya sya udh nunggu 1 stngah jm kdng"" ke siangn berngkat kerja bnyak pilihan juga percuma Lambat trus",app dan service,negative
review_68_1,2025-10-30 09:00:26,Gojek semakin mantap,service,positive
review_69_1,2025-10-30 08:58:49,dgn adanya gojek sangat membantu bgt,service,positive
review_70_1,2025-10-30 08:52:25,"aplikasi ok,,",app,positive
review_70_2,2025-10-30 08:52:25,"tp cara kerja gopay pinjam yg bermasalah saya di tolak terus...padahal saya udh 3 tahun pakai aplikasi gopay,,,tp tetap juga di tolak.padahal bkan bnyak pinjam,",app,negative
review_71_1,2025-10-30 08:48:54,LAMA BET KALO NYARIIN DRIVER,service,negative
review_72_1,2025-10-30 08:13:54,sangat membantu,none,positive
review_73_1,2025-10-30 07:35:23,oke,none,neutral
review_74_1,2025-10-30 07:31:24,pelayanan cepat,service,positive
review_75_1,2025-10-30 07:29:16,"heh buat goto kalo abis update an di cek dlu napa aplikasinya,masa habis di update , ngelagnya gak ketolongan mending aplikasi sebelah aja lebih pasti",app,negative
review_76_1,2025-10-30 07:29:14,good,none,positive
review_77_1,2025-10-30 07:26:20,sangat bagus untuk pergi²,service,positive
review_78_1,2025-10-30 06:54:31,"tolong dong Yang Gocar di perbaiki, sy pesen gocar 3kali ,semua TDK bergerak diam di tempat di lihat di maps, pdhal jln keadaan sepi TDK macet!!seolah olah TDK ada yg mau ambil orderan , sy tunggu 5 menit, Msih TDK gerak jg, sy cancel dpat lgi sama jg gtu lgi...., pas dpet jln, bnyak alasan ,inti y seolah olah , pas dpet jln, bnyak alasan ,inti y seolah olah Biar sy yg cancel..Walaupun sy pesen jarak ny g terlalu jauh Tpi hrs ny profesional donk supir2 ny, jadi sy pindah ke Aplikasi Lain dan mau tanpa basa basi.",app dan service,negative
review_79_1,2025-10-30 06:49:19,membantu banget dan murah murah lagi tapi kalau makanan agak lebih mahal dibanding beli langsung a9 ',app,positive
review_81_1,2025-10-30 06:26:49,"Pembayaran yang terlalu mahal driver sering minta uang lebih tidak pernah tepat waktu driver aneh sering muter"" ""supaya minta uang lebih sama macim juga begitu klw buru"""" gak usah pakai noh aplikasi datang gak pernah cepat""",app dan service,negative
review_82_1,2025-10-30 06:11:42,"gojek makin mahal aja, ga ada promo nya. cuma iklan nya aja jajan terus",app,negative
review_82_3,2025-10-30 06:11:42,"tapi promo nya jauh banget dari harga asli, udah apa² mahal harga pada naik semua Tambah lagi ga ada promo nya, ada promo juga itu dikit banget potongan nya paling cuma 15k hadehh ya percuma.",app,negative
review_82_4,2025-10-30 06:11:42,"padahal rata² pembeli di Gofood itu kaum menengah kebawah tapi harga nya harga sultan, buat orang kaya² mah ga masalah harga makanan segitu,warteg aja harga sama dengan restoran bintang 5,paling beda tipis harga nya.",app,negative
review_82_6,2025-10-30 06:11:42,parah!,none,negative
review_83_1,2025-10-30 06:10:26,pakai aplikasi gocar lebih enak & mantap,service,positive
review_84_1,2025-10-30 05:41:13,sangat membantu masyarakat.,none,positive
review_85_1,2025-10-30 05:37:56,mohon gojek foto profil di aplikasi go-jek seharusnya fotonya pake atribut,app,neutral
review_85_2,2025-10-30 05:37:56,biar enek dilihat gak kayak gini Lo ini kayanya hrus diperbarui pada foto profil driver gojek kerja suruh pakai atribut foto profil driver gak pake atribut tolong foto profil driver gojek di profil pake atribut kan enak 🙏👍,app,negative
review_86_1,2025-10-30 05:26:25,"Sangat jelek sistem pencarian drivernya , dan kebanyakan drivernya manja2...",app dan service,negative
review_86_2,2025-10-30 05:26:25,"order goride jmput anak sekolah pas dapat driver yang manja orderan saya di tahan hampir satu jam, sampai akhirnya di cancel Ama drivernya",service,negative
review_87_1,2025-10-30 05:26:11,sangat membantu dalam keseharian trimakasih,none,positive
review_88_1,2025-10-30 05:10:55,ganti pin gabisa² uangnya sayang banget gabisa kepake buat bayar dicoba berkali² udah hampir sebulan juga ga bisaaa aneh banget heran,app,negative
review_89_1,2025-10-30 05:08:00,terbaik,none,positive
review_90_1,2025-10-30 05:06:03,akun gopay ga bisa login,app,positive
review_90_2,2025-10-30 05:06:03,padahal baru di isi saldo gmana sih tiap login harus nunggu 60 menit,app,negative
review_91_1,2025-10-30 05:00:32,trimakasih,none,positive
review_92_1,2025-10-30 04:59:28,APK kian hari tidak ada perubahan dengan penjemputan driver bisa mencapai radius 4km...,app dan service,negative
review_92_2,2025-10-30 04:59:28,jika jalan macet driver harus buru2 tiba di resto jika tidak akan ada pembatalan by sistem..jika ada sesuatu hal yg tidak di inginkan terjadi Pd driver yg ingin cepat sampai titik penjemputan dengan radius 4km siapa yg mau di salahkan..,app,negative
review_93_1,2025-10-30 04:57:53,kapan mau di jual ke Grab?,none,negative
review_93_2,2025-10-30 04:57:53,salam .50,none,neutral
review_94_1,2025-10-30 04:50:52,top,none,neutral
review_95_1,2025-10-30 04:42:19,sangat berguna,none,neutral
review_96_1,2025-10-30 04:36:57,"karena bagus pelayanan.kk, soal nya enak² semua barang-barang nya",service,positive
review_97_1,2025-10-30 03:57:32,"tolong lebih ditingkatkan lagi sistem gocar nya, setiap pesen gocar lama banget pergerakannya, nunggu sampe puluhan menit.Padahal jarak penjemputannya deket",app dan service,negative
review_98_1,2025-10-30 03:51:04,good job,none,positive
review_99_1,2025-10-30 03:46:17,"baik,mantap,good",none,positive
