slang,baku
gk,tidak
ga,tidak
gak,tidak
nggak,tidak
tdk,tidak
klo,kalau
kl,kalau
dlm,dalam
udh,sudah
uda,sudah
sdh,sudah
blm,belum
blom,belum
belom,belum
bgt,sangat
banget,sangat
parah,sangat
parahh,sangatt
ribet,rumit
repot,rumit
ngerti,mengerti
nggakngerti,tidak mengerti
ngga ngerti,tidak mengerti
gajelas,tidak jelas
ga jelas,tidak jelas
kenapa,mengapa
knp,mengapa
napa,mengapa
bgmn,bagaimana
trs,terus
trus,terus
masukkin,masukkan
daftarin,daftarkan
downloadin,unduh
login,masuk
loginnya,masuk
logout,keluar
akun,akun
pw,kata sandi
pass,kata sandi
password,kata sandi
kodeotp,kode otp
otpnya,kode otp
verif,verifikasi
verifikasiin,verifikasi
gagalin,gagal
error,galat
eror,galat
trouble,masalah
lemot,lambat
lelet,lambat
delay,terlambat
nunggu,menunggu
nungguin,menunggu
ngetik,mengetik
ngisi,mengisi
ngisii,mengisi
isi bbm,mengisi bbm
spbu,spbu
sbpu,spbu
bbm,bbm
premium,premium
pertalite,pertalite
pertamax,pertamax
solar,solar
bensin,bbm
aplikasinya,aplikasi
apk,aplikasi
apknya,aplikasi
fitur,fitur
layanan,layanan
tidak bisa,gagal
gabisa,tidak bisa
gakbisa,tidak bisa
ga bisa,tidak bisa
ndak,tidak
enggak,tidak
bisa dong,seharusnya bisa
logika nya,logikanya
gaje,tidak jelas
pelayanan,layanan
kecewa,kecewa
kecewa banget,sangat kecewa
kesel,kesal
kesell,kesall
cape,lelah
capek,lelah
capekk,lelah
woww,woww
aminn,aminn
met,selamat
netaas,menetas
keberpa,keberapa
eehh,eh
kata2nyaa,kata-katanya
hallo,halo
kaka,kakak
ka,kak
daah,sudahh
aahh,ah
yaa,ya
smga,semoga
slalu,selalu
amiin,aminn
kk,kakak
sii,sih
nyenengin,menyenangkan
gemess,gemass
akuu,akuu
jgn,jangan
udah,sudah
gitu,begitu
aja,saja
gemesiin,menggemaskan
menyenangkn,menyenangkan
rb,ribu
akau,aku
saranin,menyarankan
nemuin,menemukan
yah,ya
mnis2nya,manis-manisnya
gtu,begitu
tu,itu
idolaa,idolaa
bangett,bangett
kaakk,kak
baaiikk,baikk
telaatt,telatt
kaak,kakk
yg,yang
lg,lagi
skarang,sekarang
sempet,sempat
karna,karena
ngga,enggak
mantep,mantap
loohh,loh
yee,ya
baguus,baguss
sampe,sampai
ngikutin,mengikuti
gayany,gayanya
bnk,bang
awaas,awass
siip,sipp
abizz,habis
kerrenn,kerenn
sayaa,sayaa
pengen,pengin
kpan,kapan
sma,sama
sdkit,sedikit
bngt,banget
lgu,lagu
bener2,benar-benar
kharismanya,karismanya
aq,aku
jdi,jadi
lgi,lagi
kek,kayak
lgunya,lagunya
kereenn,kerenn
nyamain,menyamakan
lakik,laki
siipp,sipp
bkn,bukan
nyangka,menyangka
kereen,kerenn
wihh,wihh
tp,tapi
inget,ingat
bingitss,bangett
dmn,dimana
bird,biru
kaloo,kalo
gimna,bagaimana
tuuh,tuh
nyebur,mencebur
yng,yang
dbuat,dibuat
kn,kan
org,orang
pingin,pengin
bangcat,bangsat
yha,ya
waoohh,wahh
pngn,pengin
tmpt,tempat
dhe,deh
indahh,indahh
bgtt,banget
tuhh,tuh
berarto,berarti
aamiin,aminn
amiinn,aminn
dgn,dengan
aminn2,amin-amin
amiend,amien
ameen,amin
ngomong,mengomong
mamer,memamerkan
keles,kali
jelase,jelas
liat,lihat
uwakk,uwak
ntar,entar
bs,bisa
gini,begini
salfok,salah fokus
njir,anjir
piink,pink
astgfrullah,astagfirullah
ko,kok
cd,celana dalam
gbs,enggak bisa
bhs,bahasa
bangshad,bangsat
stagahh,astaga
kpn,kapan
ioo,lo
dy,dia
d,ada
mslh,masalah
qt,kita
plampiasann,pelampiasan
masalahh,masalah
tohh,toh
inghinn,ingin
dhi,di
mengherthii,mengerti
yanckh,yang
chelalyyu,selalu
therchakitty,tersakiti
mauu,mau
kalii,kali
bangat,banget
bkin,bikin
dongg,dong
yokk,yuk
yu,yuk
sweger,segar
gantengg,ganteng
bingiit,bangett
kebukaa,terbuka
tpi,tapi
keliatan,kelihatan
yakk,ya
kayakk,kayak
aslii,asli
kyk,kayak
cntiknya,cantiknya
bat,banget
ngeliatnya,melihatnya
sll,selalu
bet,banget
njerr,anjir
bingiittzz,bangett
k,kak
doong,dong
masi,masih
gni,begini
hdk,hendak
jugaa,juga
mksud,maksud
aj,saja
tetep,tetap
mbakx,mbaknya
syantik,cantik
kite,kita
pa,apa
mksd,maksud
bejilbbnya,berjilbabnya
masio,masih
yahh,ya
makasih,terima kasih
leh,boleh
ugaa,juga
jerewi,jerawat
ilang,hilang
jilbabnyaah,jilbabnya
yuuk,yuk
warnaa,warnaa
punyaa,punyaa
cantiik,cantikk
sukaak,sukaa
kebayanyaa,kebayanya
mantes,memantas
merekaa,mereka
gilaa,gilaa
tiga2nya,tiga-tiganya
lucuu,lucuu
emess,gemass
ucull,lucuu
males,malas
bangeett,bangett
gemesshh,gemass
apaa,apaa
ampuunn,ampunn
ciuumm,ciumm
mbil,sambil
ngmng,mengomong
ngemeng,mengomong
epe,apa
seehh,sih
yank,sayang
ucul,lucu
gw,gue
ngakak,mengakak
astagfirrullah,astagfirullah
suerr,suerr
mnta,minta
syg,sayang
ntik,cantik
pny,punya
dapet,dapat
suru,suruh
ketawakk,ketawaa
kyanya,kayanya
bnget,banget
nakutin,menakutkan
malingg,maling
cocokk,cocok
niihh,nihh
imutt,imutt
satuu,satuu
sesekk,sesakk
nafass,nafass
cintaa,cintaa
lucuk,lucu
ma,sama
duluu,duluu
megang,memegang
kawinin,mengawini
liatin,memperlihatkan
ny,nya
bdan,badan
nyaa,nya
gemesin,menggemaskan
fotoin,memfoto
ngaku,mengaku
kaa,kak
ganteng2,ganteng-ganteng
pcarny,pacarnya
kri,kiri
knpa,kenapa
pda,pada
cmn,cuman
gara2,gara-gara
garuk2,garuk-garuk
tembokk,tembok
namax,namanya
kirii,kiri
bungkusin,bungkuskan
atu,satu
dehh,deh
kakk,kak
ngegantiin,menggantikan
alloh,allah
smpe,sampai
msh,masih
trsa,terasa
khadirannya,kehadirannya
fikiran,pikiran
hayalanku,khayalanku
bru,baru
nton,menonton
ngapain,mengapai
surgaa,surgaa
kangenn,kangenn
kgn,kangen
rinduu,rindu
ninggalin,meninggalkan
smg,semoga
terangkhn,terangkan
tuk,untuk
slama,selama
orng,orang
bngunlah,bangunlah
bngun,bangun
ea,ya
qu,ku
hiri,hari
"teman""ny,teman-temannya"
aza,saja
dr,dari
alm,almarhum
skrg,sekarang
sie,sih
benet,benar
tuu,tuh
skrang,sekarang
gda,enggak ada
gantiin,menggantikan
kta,kata
kklau,kalau
acra,acara
kasian,kasihan
bnerr,benar
emk,emak
temenn,temann
pngenn,pengin
terkenall,terkenal
ajhh,saja
sungguh2,sungguh-sungguh
mnjadi,menjadi
shbt,sahabat
bner,benar
ktny,katanya
dimusiumin,dimuseumkan
bntu,bantu
dlu,dulu
kangem,kangen
smua,semua
slmt,selamat
jln,jalan
"mudh""an,mudah-mudahan"
tenny,tenang
tnya,tanya
td,tadi
sblm,sebelum
bole,boleh
lahh,lah
maap,maaf
cm,cuma
kmrn,kemarin
wkt,waktu
ama,sama
ak,aku
lht,lihat
biasa2,biasa-biasa
mnrtkuu,menurutku
ikutin,mengikuti
jdwl,jadwal
wajiib,wajib
aammiinn,aminnn
dtnggu,ditunggu
jan,jangan
kunjungin,kunjungi
lagii,lagi
waktunyaa,waktunya
diluangin,diluangkan
jga,juga
mimin,admin
istimewaa,istimewa
nangis,menangis
"ngaku"",mengaku-ngaku"
diaa,dia
donkk,dong
kejawab,terjawab
seru2an,seru-seruan
mohom,mohon
kebalas,terbalas
nyempetin,menyempatkan
wktunya,waktunya
ngobrol,mengobrol
namain,menamai
bls,balas
ijap,ijab
kobul,kabul
co,cowok
pst,pasti
inggat,ingat
brdua,berdua
masing2,masih
sanggat,sangat
laa,lah
hdup,hidup
hdp,hidup
kedpan,kedepan
smoga,semoga
mndaptkan,mendapatkan
"nutup""in,menutup-nutupi"
iyah,iya
sja,saja
za,saja
mulut2,mulut-mulut
peengn,pengin
tuch,tuh
muantteepp,mantap
cpt,cepat
mrit,merit
y,ya
ngapasih,mengapa sih
ni,ini
segitunya,sebegitunya
fto,foto
pke,pakai
