sentence_id,at,content,category,sentiment
review_1_1,2025-10-30 23:58:11,"map suka eror,, driver dimana map dimana..bikin costumer service dan driver miss kom..",app,negative
review_2_1,2025-10-30 23:42:51,terlalu mahal skrg.,service,negative
review_3_1,2025-10-30 23:34:57,boleh lah,none,positive
review_4_1,2025-10-30 23:28:26,love you gojek....always the best,service,positive
review_5_1,2025-10-30 23:06:34,mantap gojek,service,positive
review_6_1,2025-10-30 23:01:26,sipp,none,positive
review_7_1,2025-10-30 22:33:30,"keren, sangat membantu terima kasih gojek",service,positive
review_8_1,2025-10-30 21:49:06,kalau order gofod jam pagi driver nya masih pada molor.saya menunggu makanan sampai 90menit. sudah gilaa,service,negative
review_9_1,2025-10-30 19:45:27,kasih harga yang benar lah tidak jelas sangat goride tidak ada 2 kilo kok bisa sampai 20 ribu di sebelah saja 9 ribu no voucer,app,negative
review_10_1,2025-10-30 18:28:38,mantap drivernya ramah sopan pokoknya 5,service,positive
review_11_1,2025-10-30 17:14:36,mantaabbb,none,positive
review_12_1,2025-10-30 16:53:57,mantap,none,positive
review_13_1,2025-10-30 16:52:37,good aplication,app,positive
review_14_1,2025-10-30 16:26:19,drivernya ramah dan baik,service,positive
review_15_1,2025-10-30 16:11:18,aplikasi sangat bagus saya sering beli makanan online,app,positive
review_16_1,2025-10-30 15:13:41,memudahkan membeli barang makanan dan lain lain memudahkan perjalanan juga suka deh sama aplikasi semoga selalu bagus yaaa,app,positive
review_17_1,2025-10-30 15:08:10,bagus,none,positive
review_18_1,2025-10-30 14:56:00,mantap,none,positive
review_19_1,2025-10-30 14:52:45,mengapa membatalkan pesanan gofood,service,negative
review_19_2,2025-10-30 14:52:45,"karena tidak dapat driver, harus sangat tunggu 1,5 jam?",service,negative
review_19_3,2025-10-30 14:52:45,"saya pesan jam 21.00, hingga jam 21.30 belum dapat driver.",service,negative
review_19_4,2025-10-30 14:52:45,terus baru bisa dibatalin 22.21?,service,negative
review_19_5,2025-10-30 14:52:45,logika kalian sampah!,none,negative
review_19_6,2025-10-30 14:52:45,"ini kan pesan makan ya, masa harus menunggu 1,5 jam tanpa kejelasan dapat driver? iya kalau dapet, kalau tidak dapat lagi gimana?",service,negative
review_19_8,2025-10-30 14:52:45,"saya pernah sabar sampai 3 jam, 2 kali order, tidak dapat driver.",service,negative
review_19_9,2025-10-30 14:52:45,"kalau memang tidak ada driver, ya sudah kasih waktu wajar 30 menit untuk cancel.",service,negative
review_19_10,2025-10-30 14:52:45,"costumer service kalian bot, tidak ada contact center!!",service,negative
review_20_1,2025-10-30 14:48:25,bagus simpel tidak rumit tepat pada titik jemput,app,positive
review_21_1,2025-10-30 14:23:29,gojek/gopay penipuan saldo saya sampai sekarang tidak di kasih sudah 4 hari tidak ada kejelasan nya saldo di tahan...,app,negative
review_21_2,2025-10-30 14:23:29,padahal saya sudah kirim bukti jelas ke gmail dan pusat bantuan bahkan yang respon laporan hanya bot bukan agen langsung kocak memang ini aplikasi penipuan uang,app,negative
review_22_1,2025-10-30 14:22:39,pencarian driver nya jelek sangat tidak ketemu melulu kalau mau antar makanan gofood ngangur apa gmn?,app,negative
review_23_2,2025-10-30 14:14:33,2 jam restonya mencari tidak nemu,service,negative
review_24_1,2025-10-30 14:05:07,langganan dan bagus layanan,service,positive
review_25_1,2025-10-30 13:47:06,"kagak jelas sangat , masa pembayaran tanpa pin, tiba-tiba saja pesan go car tolong tambahkan pin di setiap transaksi gojek.",app,negative
review_26_1,2025-10-30 13:28:59,mantab,none,positive
review_27_1,2025-10-30 13:23:27,"mangkin lama, mangkin mahal,",service,negative
review_27_2,2025-10-30 13:23:27,tapi kualitas tidak meningkat,service,negative
review_28_1,2025-10-30 13:19:05,pliss gojek mengadakan metode pembayaran qrisnya,app,neutral
review_29_1,2025-10-30 13:15:04,driver nya bikin macet,service,negative
review_30_1,2025-10-30 13:08:48,"terlalu lama untuk cari driver, ketika dapat kalau argonya sedikit di cancel, di area order banyak driver namun tidak ada yang nyangkut",service,negative
review_31_1,2025-10-30 12:57:57,"buat para costumer service costumer service yang ada di gojek, tolong otak dipakai logika dipakai suruh menunggu 2 jam gila saja order makanan tidak ada dapat driver suruh menunggu begitu lama sampa 2 jam orang sudah pada kelaparan minimal kasih solusi buka chat sama bot.!",app,negative
review_31_2,2025-10-30 12:57:57,minimal bisa dicancel biar bisa cari opsi lain bukan memaksa menunggu driver sampai ber jam jam,app,negative
review_32_1,2025-10-30 12:45:24,sering dapat driver yang lokasinya jauh sekali dari titik jemput.,service,negative
review_33_1,2025-10-30 12:40:39,sangat membantu,none,positive
review_34_1,2025-10-30 12:40:24,ojol sekarang lambat sangat ada orderan lama sangat jalannya sudah begitu banyak alesan melulu,service,negative
review_35_1,2025-10-30 12:37:59,"saat hujan sampai hujan reda saya susah dapat driver bahkan sampai order grab car ke esokan nya saat saya naik gojek saya tanya driver nya kalau hujan susah dapat driver, kata driver nya kalau hujan atau habis hujan banyak driver off kak soalnya kalaupun on bakal disuspend karena tidak boleh melewati orderan",app dan service,negative
review_35_3,2025-10-30 12:37:59,"padahal orderan nya kalaupun diambil jemput nya jauh ngeblast, jadi banyak driver malas on customer pun banyak yang pesan lain seperti grab maxim dll, harusnya tidak ada suspen biar sama tidak dirugikan.",app dan service,negative
review_36_1,2025-10-30 12:35:24,"lama amat buset, memesan makanan sejam lebih kagak sampai",service,negative
review_37_1,2025-10-30 12:29:11,susah sangat dapat driver selalu pesanan jadi batal,service,negative
review_38_1,2025-10-30 12:21:42,mantap dan lancar terus iya,none,positive
review_40_1,2025-10-30 12:16:14,"cari driver buat mengantarkan makanan doang lama banget, tidak benar",service,negative
review_41_1,2025-10-30 12:16:04,"sudah tunggu hampir 2 jam, dicancel oleh sistem, gofood tidak dapat driver, kalau tidak ada driver,",app,negative
review_41_2,2025-10-30 12:16:04,"lebih baik cancel dari awal, tunggu sampai kelaparan, dicancel, memang aplikasi sampah",app,negative
review_42_1,2025-10-30 12:11:51,driver nya selalu menolak padahal keadaan urgent.khusus nya area bali.tidak rekomendasi,service,negative
review_43_1,2025-10-30 12:08:56,mantap,none,positive
review_44_1,2025-10-30 12:03:49,tidak jelas kocak,none,negative
review_45_1,2025-10-30 11:59:03,praktis,none,positive
review_46_1,2025-10-30 11:49:55,menghubungi costumer service susah dan solusi yang diberikan tidak relevan dengan masalah yang dialami.,service,negative
review_48_1,2025-10-30 11:35:24,sangat terbantu,none,positive
review_49_1,2025-10-30 11:32:55,"saya tidak sengaja order gofood, saya sudah lapor ke costumer service tapi tidak ada solusi. saya chat resto pun tidak bisa, terus buat apa ada fitur chat resto!!",app,negative
review_50_1,2025-10-30 11:03:17,bagus,none,positive
review_51_1,2025-10-30 10:53:07,oke,none,positive
review_52_1,2025-10-30 10:39:44,pengalaman pembelian yang buruk,service,negative
review_53_1,2025-10-30 10:39:10,tidak bisa ganti metode pembayaran,app,negative
review_54_1,2025-10-30 10:36:55,"susah dapat gojek pas ujan, bisa 5 jam!!!!!",service,negative
review_55_1,2025-10-30 10:33:11,mantap,none,positive
review_56_1,2025-10-30 10:22:47,sangat mudah sekali,none,positive
review_57_1,2025-10-30 10:15:11,rekomendasi mantap,none,positive
review_58_1,2025-10-30 10:07:04,"hai gojek. sebenarnya ku suka loh pakai gojek. cuma hari ini kecewa berat. posisi hujan, butuh gojek untuk jemput anak sekolah, tidak ada yang nyantol. pesan goride tidak ada yang tersangkut iya wajarlah hujan, gpp.terus pesenlah gocar, ada,tp dicancel tengah jln.pakai prioritas tidak ada yang nyantol.masyaallah susahnyakalo hujan..nantikalo sudah reda rasa kecewanya, pasti saya balik lagi.mksh sih untuk gojek",app dan service,negative
review_59_1,2025-10-30 10:07:01,"gojek memang ,terimakasih sudah banyak antar saya",service,positive
review_60_1,2025-10-30 10:05:45,"ujung-ujungnya tergantung orang yang melayani, ada beberapa yang kurang bagus.tapi sejauh ini masih lumayan",service,negative
review_61_1,2025-10-30 09:49:55,kalau lagi ujan mencari driver buat gofood tuh susah sangat sampai berjam jam padahal sudah pakai yang ekspress,app dan service,negative
review_62_1,2025-10-30 09:49:07,mantaaap,none,positive
review_63_1,2025-10-30 09:36:09,keren gojek,service,positive
review_64_1,2025-10-30 09:35:30,lamaaaa sayaaa nakkkkk pulaanggggggggg,none,negative
review_65_1,2025-10-30 09:29:32,mantap ini,none,positive
review_66_1,2025-10-30 09:13:40,"sangat baik, terima kasih",none,positive
