sentence_id,at,content,category,sentiment
review_4_1,2025-10-30 23:28:26,love you gojek....always the best😍,service,positive
review_5_1,2025-10-30 23:06:34,mantap gojek,service,positive
review_6_1,2025-10-30 23:01:26,siip,none,positive
review_7_1,2025-10-30 22:33:30,"keren, sangat membantu makasih gojek",service,positive
review_8_1,2025-10-30 21:49:06,kalau order gofod jam pagi driver nya masih pada molor.saya nunggu makanan sampe 90menit. udah gilaa,service,negative
review_9_1,2025-10-30 19:45:27,kasi harga yg bnr la gjls bgt goride gd 2 kilo ko bisa smpe 20ribu di sebelah aja 9rb NO VOUCER,app,negative
review_10_1,2025-10-30 18:28:38,Mantap drivernya ramah sopan pokoknya 🌟 5,service,positive
review_11_1,2025-10-30 17:14:36,Mantaabbb,none,positive
review_12_1,2025-10-30 16:53:57,mantap,none,positive
review_13_1,2025-10-30 16:52:37,good aplication,app,positive
review_14_1,2025-10-30 16:26:19,drivernya ramah dan baik,service,positive
review_15_1,2025-10-30 16:11:18,aplikasi sangat bagus saya sering beli makanan online,app,positive
review_17_1,2025-10-30 15:08:10,bagus,none,positive
review_18_1,2025-10-30 14:56:00,Mantap,none,positive
review_19_3,2025-10-30 14:52:45,"saya pesan jam 21.00, hingga jam 21.30 belum dapat driver.",service,negative
review_19_8,2025-10-30 14:52:45,"saya pernah sabar sampai 3 jam, 2x order, ga dpt driver.",service,negative
review_21_1,2025-10-30 14:23:29,gojek/gopay penipuan saldo saya sampai sekarang tidak di kasih udah 4 hari tidak ada kejelasan nya saldo di tahan...,app,negative
review_24_1,2025-10-30 14:05:07,langganan dan bagus layanan 𝗚𝗢𝗝𝗘𝗞,service,positive
review_25_1,2025-10-30 13:47:06,"kaga jelas bgt , masa pembayaran tanpa pin, tiba2 aja pesan go car tolong tambahkan PIN di setiap transaksi GOJEK.",app,negative
review_27_2,2025-10-30 13:23:27,tapi kualitas gak meningkat,service,negative
review_28_1,2025-10-30 13:19:05,pliss gojek adain metode pembayaran qrisnya😩,app,neutral
review_29_1,2025-10-30 13:15:04,driver nya bikin macet,service,negative
review_31_2,2025-10-30 12:57:57,minimal bisa dicancel biar bisa cari opsi lain bukan maksa nungguin driver sampai ber jam jam,app,negative
review_32_1,2025-10-30 12:45:24,Sering dapat driver yang lokasinya jauh sekali dari titik jemput.,service,negative
review_33_1,2025-10-30 12:40:39,sangat membantu,none,positive
review_36_1,2025-10-30 12:35:24,"Lama amat buset, mesen makanan sejam lebih kaga nyampe""",service,negative
review_38_1,2025-10-30 12:21:42,mantap dan lancar terus ya,none,positive
review_40_1,2025-10-30 12:16:14,"Cari driver buat nganterin makanan doang lama banget, ndak pecus",service,negative
review_41_2,2025-10-30 12:16:04,"lebih baik cancel dr awal, tunggu sampai kelaparan, dicancel, emang apk sampah",app,negative
review_43_1,2025-10-30 12:08:56,mntep,none,positive
review_44_1,2025-10-30 12:03:49,gajelas kocak,none,negative
review_45_1,2025-10-30 11:59:03,Praktis,none,positive
review_48_1,2025-10-30 11:35:24,sangat terbantu,none,positive
review_50_1,2025-10-30 11:03:17,bagus,none,positive
review_53_1,2025-10-30 10:39:10,Gabisa ganti metode pembayaran,app,negative
review_54_1,2025-10-30 10:36:55,"susah dapet gojek pas ujan, bisa 5 jam!!!!!",service,negative
review_55_1,2025-10-30 10:33:11,mantap,none,positive
review_56_1,2025-10-30 10:22:47,sangat mudah sekali,none,positive
review_57_1,2025-10-30 10:15:11,rekomendasi mantap,none,positive
review_59_1,2025-10-30 10:07:01,"gojek Memang 👍,terimakasih sudah banyak antar saya",service,positive
review_62_1,2025-10-30 09:49:07,mantaaap,none,positive
review_63_1,2025-10-30 09:36:09,Keren gojek,service,positive
review_65_1,2025-10-30 09:29:32,mantap nih,none,positive
review_66_1,2025-10-30 09:13:40,"Sangat baik, trims",none,positive
review_67_1,2025-10-30 09:12:53,"Tolong ya Pihak Gojeg Di perbaiki Sistem nya mkin ke sini makin ga jelas Udh lma dapet nya giliran dapet jauh dinkasih nya sya udh nunggu 1 stngah jm kdng"" ke siangn berngkat kerja bnyak pilihan juga percuma Lambat trus",app dan service,negative
review_68_1,2025-10-30 09:00:26,Gojek semakin mantap,service,positive
review_69_1,2025-10-30 08:58:49,dgn adanya gojek sangat membantu bgt,service,positive
review_70_2,2025-10-30 08:52:25,"tp cara kerja gopay pinjam yg bermasalah saya di tolak terus...padahal saya udh 3 tahun pakai aplikasi gopay,,,tp tetap juga di tolak.padahal bkan bnyak pinjam,",app,negative
review_71_1,2025-10-30 08:48:54,LAMA BET KALO NYARIIN DRIVER,service,negative
review_72_1,2025-10-30 08:13:54,sangat membantu,none,positive
