sentence_id,at,content,sentiment,category
review_1_1,2025-10-30 23:58:11,"Map suka eror,, driver dimana map dimana..bikin cs dan driver miss kom..",negative,app
review_2_1,2025-10-30 23:42:51,terlalu mahal skrg.,negative,service
review_3_1,2025-10-30 23:34:57,bolehh lah,positive,none
review_4_1,2025-10-30 23:28:26,love you gojek....always the best😍,positive,service
review_5_1,2025-10-30 23:06:34,mantap gojek,positive,service
review_6_1,2025-10-30 23:01:26,siip,positive,none
review_7_1,2025-10-30 22:33:30,"keren, sangat membantu makasih gojek",positive,service
review_8_1,2025-10-30 21:49:06,kalau order gofod jam pagi driver nya masih pada molor.saya nunggu makanan sampe 90menit. udah gilaa,negative,service
review_9_1,2025-10-30 19:45:27,kasi harga yg bnr la gjls bgt goride gd 2 kilo ko bisa smpe 20ribu di sebelah aja 9rb NO VOUCER,negative,app
review_10_1,2025-10-30 18:28:38,Mantap drivernya ramah sopan pokoknya 🌟 5,positive,service
review_11_1,2025-10-30 17:14:36,Mantaabbb,positive,none
review_12_1,2025-10-30 16:53:57,mantap,positive,none
review_13_1,2025-10-30 16:52:37,good aplication,positive,app
review_14_1,2025-10-30 16:26:19,drivernya ramah dan baik,positive,service
review_15_1,2025-10-30 16:11:18,aplikasi sangat bagus saya sering beli makanan online,positive,app
review_16_1,2025-10-30 15:13:41,Memudahkan membeli barang makanan dll memudahkan perjalanan juga suka deh sama aplikasinya semoga selalu bagus yaaa,positive,app
review_17_1,2025-10-30 15:08:10,bagus,positive,none
review_18_1,2025-10-30 14:56:00,Mantap,positive,none
review_19_1,2025-10-30 14:52:45,kenapa membatalkan pesanan gofood,negative,service
review_19_2,2025-10-30 14:52:45,"karena tidak dapat driver, harus banget tunggu 1,5 jam?",negative,service
review_19_3,2025-10-30 14:52:45,"saya pesan jam 21.00, hingga jam 21.30 belum dapat driver.",negative,service
review_19_4,2025-10-30 14:52:45,terus baru bisa dibatalin 22.21?,negative,service
review_19_5,2025-10-30 14:52:45,logika kalian sampah!,negative,none
review_19_6,2025-10-30 14:52:45,"ini kan pesen makan ya, masa harus nunggu 1,5 jam tanpa kejelasan dapat driver? iya kalau dapet, kalau ga dapet lagi gimana?",negative,service
review_19_8,2025-10-30 14:52:45,"saya pernah sabar sampai 3 jam, 2x order, ga dpt driver.",negative,service
review_19_9,2025-10-30 14:52:45,"KALAU MEMANG GA ADA DRIVER, YAUDAH KASIH WAKTU WAJAR 30 MENIT UNTUK CANCEL.",negative,service
review_19_10,2025-10-30 14:52:45,"CS KALIAN BOT, GA ADA CONTACT CENTER!!",negative,app
review_20_1,2025-10-30 14:48:25,bagus simpel gak ribet tepat pada titik dinemput,positive,app
review_21_1,2025-10-30 14:23:29,gojek/gopay penipuan saldo saya sampai sekarang tidak di kasih udah 4 hari tidak ada kejelasan nya saldo di tahan...,negative,app
review_21_2,2025-10-30 14:23:29,padahal saya sudah kirim bukti jelas ke gmail dan pusat bantuan malah yang respon laporan hanya bot bukan agen langsung kocak emang nih aplikasi penipuan uang,negative,app
review_22_1,2025-10-30 14:22:39,pencarian driver nya jelek banget gak ketemu mulu kalo mau anterin makanan gofood ngangur apa gmn?,negative,app
review_23_2,2025-10-30 14:14:33,2 jam restonya nyari ga nemu²,negative,service
review_24_1,2025-10-30 14:05:07,langganan dan bagus layanan 𝗚𝗢𝗝𝗘𝗞,positive,service
review_25_1,2025-10-30 13:47:06,"kaga jelas bgt , masa pembayaran tanpa pin, tiba2 aja pesan go car tolong tambahkan PIN di setiap transaksi GOJEK.",negative,app
review_26_1,2025-10-30 13:28:59,mantabs,positive,none
review_27_1,2025-10-30 13:23:27,"mangkin lama, mangkin mahal,",negative,service
review_27_2,2025-10-30 13:23:27,tapi kualitas gak meningkat,negative,service
review_28_1,2025-10-30 13:19:05,pliss gojek adain metode pembayaran qrisnya😩,neutral,app
review_29_1,2025-10-30 13:15:04,driver nya bikin macet,negative,service
review_30_1,2025-10-30 13:08:48,"terlalu lama untuk cari driver, ketika dapat kalo argonya sedikit di cancel, di area order banyak driver namun tidak ada yang nyangkut",negative,service
